,1,2_to_5,6_to_20,21_to_many
RUSSAFA,272 (81.19%),56 (16.72%),6 (1.79%),1 (0.30%)
SAFRANAR,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
SANT ANTONI,28 (93.33%),2 (6.67%),0 (0.00%),0 (0.00%)
SANT FRANCESC,103 (73.57%),34 (24.29%),3 (2.14%),0 (0.00%)
SANT ISIDRE,3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
SANT LLORENS,39 (86.67%),6 (13.33%),0 (0.00%),0 (0.00%)
SANT MARCEL.LI,11 (78.57%),3 (21.43%),0 (0.00%),0 (0.00%)
SANT PAU,43 (91.49%),4 (8.51%),0 (0.00%),0 (0.00%)
SOTERNES,36 (92.31%),3 (7.69%),0 (0.00%),0 (0.00%)
TORMOS,28 (80.00%),7 (20.00%),0 (0.00%),0 (0.00%)
TORREFIEL,30 (83.33%),6 (16.67%),0 (0.00%),0 (0.00%)
TRES FORQUES,30 (90.91%),3 (9.09%),0 (0.00%),0 (0.00%)
TRINITAT,29 (74.36%),10 (25.64%),0 (0.00%),0 (0.00%)
VARA DE QUART,24 (82.76%),5 (17.24%),0 (0.00%),0 (0.00%)
