neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Llucmajor,35495.17,43496.67,22566.85,2520325.0
Santanyí,42650.0,7961.5,92485.88,
Capdepera,45033.97,58857.92,24356.83,
Campos,26760.04,66617.14,18050.73,
Sencelles,32412.72,16930.12,59431.29,
Artà,32894.89,,53500.27,
Santa María del Camí,36166.87,20011.0,16174.0,
Sant Llorenç des Cardassar,32589.03,24877.5,10960.31,
Calvià,28925.23,17255.3,18680.14,3360.0
Felanitx,40025.62,136.0,26363.03,
Marratxí,35982.55,,29108.89,
Deyá,49699.51,,15227.0,
Selva,25770.41,23538.95,15582.6,
Esporles,38157.2,18273.0,8159.6,
Sóller,21805.85,35155.0,6158.09,
Sa Pobla,27371.49,,33850.28,
Palma de Mallorca,23009.84,20857.72,11074.46,5687.03
Manacor,26998.56,27098.75,6179.13,
Son Servera,26795.04,30785.0,1728.0,
Maria de la Salut,16884.35,18590.0,23620.25,
Pollença,38154.74,330.0,15162.78,
Lloret de Vistalegre,26900.46,,22680.0,
Puigpunyent,40331.91,,8167.5,490.0
Binissalem,32551.62,,15232.7,
Sineu,25737.2,12932.78,8680.71,
Bunyola,30758.62,,16580.0,
Andratx,40807.98,,6121.47,
Consell,41524.29,,2732.0,
Alcúdia,29228.12,,13260.11,
Mancor de la Vall,21294.14,,21183.25,
Porreres,33365.57,,5367.5,
Muro,28826.33,,9006.4,
Llubí,23121.24,,14546.58,
Ariany,30557.0,,6280.83,
Estellencs,36486.79,,,
Inca,27702.02,,7398.57,
Campanet,21889.97,,12951.14,
Petra,31135.9,,3618.08,
Valldemossa,28612.21,,3026.33,
Ses Salines,21239.73,,9872.0,
Fornalutx,28171.7,,2570.62,
Algaida,26438.67,,3835.77,
Santa Margalida,17820.98,,12422.35,
Montuïri,24571.07,,5555.4,
Costitx,20576.4,,8649.67,
Alaró,23334.09,,5488.16,
Sant Joan,24475.85,,4287.5,
Vilafranc de Bonany,28588.79,,,
Banyalbufar,12718.71,,13662.67,
Búger,21987.72,,4053.75,
Lloseta,21667.95,,2498.0,
Escorca,20237.29,2539.8,,
Santa Eugènia,14008.4,,2431.67,
