,1,2_to_5,6_to_20,21_to_many
Sevilla,Las Letanías,Aeropuerto Viejo,Aeropuerto Viejo,Aeropuerto Viejo
Valencia,El Calvari,Ciutat Universitaria,Vara De Quart,La Creu Del Grau
Menorca,Es Migjorn Gran,Es Migjorn Gran,Es Castell,Es Castell
Mallorca,Sa Pobla,Estellencs,Estellencs,Alaró
Euskadi,Zumarraga,Tolosa,Abadiã±O,Abadiã±O
Barcelona,Canyelles,Sant Genís Dels Agudells,Baró De Viver,Baró De Viver
Girona,Darnius,Ogassa,Agullana,Agullana
Madrid,Atalaya,Pavones,Abrantes,Abrantes
Malaga,Centro,Campanillas,Puerto De La Torre,Bailen-Miraflores
