neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Sant Lluís,433.02,164.0,222.6,
Mahón,326.03,208.0,111.58,
Es Migjorn Gran,350.17,,71.6,
Es Castell,256.86,,99.86,
Alaior,228.85,62.0,86.19,289.5
Ferreries,189.44,,141.0,
Es Mercadal,177.01,119.0,104.56,
Ciutadella de Menorca,164.42,110.14,86.1,
