,1,2_to_5,6_to_20,21_to_many
Alaior,201 (75.00%),51 (19.03%),14 (5.22%),2 (0.75%)
Ciutadella de Menorca,546 (76.36%),125 (17.48%),37 (5.17%),7 (0.98%)
Es Castell,36 (81.82%),8 (18.18%),0 (0.00%),0 (0.00%)
Es Mercadal,323 (78.97%),71 (17.36%),13 (3.18%),2 (0.49%)
Es Migjorn Gran,10 (47.62%),11 (52.38%),0 (0.00%),0 (0.00%)
Ferreries,32 (69.57%),9 (19.57%),5 (10.87%),0 (0.00%)
Mahón,110 (77.46%),30 (21.13%),2 (1.41%),0 (0.00%)
Sant Lluís,207 (76.10%),48 (17.65%),15 (5.51%),2 (0.74%)
