neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Jafre,1.0,,,
Viladasens,1.0,,,
Campdevànol,1.0,,,
Flaçà,1.0,,1.0,
Sant Miquel de Campmajor,1.0,,,
Cervià de Ter,1.0,,,
Sant Jaume de Llierca,1.0,,,
Borrassà,1.0,,1.0,
Aiguaviva,1.0,,,
Verges,1.0,,,
Vilabertran,1.0,,1.0,
Mollet de Peralada,1.0,,,
Vila-sacra,1.0,,,
Sant Pau de Segúries,1.0,,1.0,
Avinyonet de Puigventós,1.0,,1.0,
Quart,1.0,,,
Vilamalla,1.0,,,
La Cellera de Ter,0.99,,1.0,
Riudellots de la Selva,1.0,0.99,0.99,
Sant Gregori,0.99,,,
Espolla,0.99,,,
Fontcoberta,0.99,,,
Llambilles,0.99,,0.99,
Meranges,0.99,,,
Massanes,1.0,,0.98,
Vallfogona de Ripollès,0.99,,,
Boadella d'Empordà,0.99,,,
Sant Miquel de Fluvià,0.99,,,
Sales de Llierca,0.98,,1.0,
Fortià,0.98,,0.99,
Palol de Revardit,0.97,,1.0,
Salt,0.99,,0.98,
Argelaguer,0.97,,1.0,
Camós,0.98,,,
Ogassa,0.94,,1.0,1.0
Garrigoles,0.95,,1.0,
Susqueda,0.96,,0.99,
Hostalric,0.97,,,
Amer,0.94,,1.0,
Celrà,0.94,,1.0,
L'Armentera,0.94,,1.0,
Pont de Molins,0.97,,,
Setcases,0.93,,1.0,
Gualta,0.93,,1.0,
Montagut i Oix,0.94,,0.99,
Llançà,0.92,,1.0,
Vilamaniscle,0.96,,,
Colomers,0.96,,,
Bàscara,0.98,,0.94,
Castellfollit de la Roca,0.94,,0.98,
Sant Jordi Desvalls,0.96,,,
Sant Julià del Llor i Bonmatí,0.96,,,
Ripoll,0.95,,0.97,
Camprodon,0.91,,1.0,
Albons,0.91,,1.0,
Fontanilles,0.9,,1.0,
Molló,0.9,,1.0,
Vilademuls,0.91,,0.99,
Riudarenes,0.95,,,
Riumors,0.96,,0.94,
Vilobí d'Onyar,0.95,,,
Roses,0.93,,0.97,
Ultramort,0.9,,1.0,
Anglès,0.96,,0.93,
Torroella de Montgrí,0.95,,0.94,
Puigcerdà,0.89,0.99,0.95,
Ribes de Freser,0.9,,0.98,
Mieres,0.93,,0.95,
Capmany,0.91,0.97,,
Vilamacolum,0.94,,,
Bordils,0.94,,,
Girona,0.94,0.99,0.89,
Ger,0.94,,,
Palafrugell,0.86,0.99,0.96,
Les Planes d'Hostoles,0.89,,0.98,
La Tallada d'Empordà,0.93,,0.94,
Santa Cristina d'Aro,0.88,,0.98,
Tortellà,1.0,,0.86,
Madremanya,0.86,,1.0,
Portbou,0.93,,0.91,
La Jonquera,0.92,,,
Les Llosses,0.84,,1.0,
Terrades,0.84,,1.0,
Sant Ferriol,0.95,,0.89,
Castelló d'Empúries,0.92,0.98,0.85,
Sant Hilari Sacalm,0.84,,0.99,
Maçanet de la Selva,0.94,,0.89,
Rabós,0.91,,0.92,
Besalú,0.91,,0.91,
Fontanals de Cerdanya,0.91,,,
Isòvol,0.91,,,
Rupià,0.91,,,
Llers,0.9,,0.92,
Lloret de Mar,0.86,,0.88,0.98
Mont-ras,0.84,,0.97,
Vilopriu,0.86,,0.95,
Campelles,0.81,,1.0,
Toses,0.9,,,
Peralada,0.93,,0.86,
Forallac,0.84,,0.95,
La Vall d'en Bas,0.83,,0.96,
Queralbs,0.8,,0.99,
Ullastret,0.79,,1.0,
L'Escala,0.92,,0.77,0.99
Pals,0.91,1.0,0.76,
Lladó,0.89,,,
Palau-saverdera,0.91,,0.87,
Ventalló,0.84,,0.94,
Begur,0.89,0.99,0.78,
Garriguella,0.77,,1.0,
Sant Joan de les Abadesses,0.89,,0.88,
Torroella de Fluvià,0.87,,0.9,
Sant Feliu de Guíxols,0.88,,0.89,
Sant Climent Sescebes,0.85,,0.92,
Calonge,0.87,,0.9,
Sarrià de Ter,0.87,,0.89,
Palamós,0.85,,0.91,
Vilaür,0.88,,,
La Vall de Bianya,0.76,,1.0,
Pau,0.89,,0.86,
Gombrèn,0.82,,0.93,
La Selva de Mar,0.75,,1.0,
Alp,0.87,,,
Bescanó,0.82,,0.92,
Vidrà,0.87,,,
Palau-sator,0.87,,,
Serinyà,0.86,,0.87,
Sils,0.91,,0.82,
Castell-Platja d'Aro,0.83,,0.89,
Sant Julià de Ramis,0.87,,0.85,
Cantallops,0.86,,,
Banyoles,0.93,,0.77,
Olot,0.92,,0.78,
Arbúcies,0.91,,0.79,
Pardines,0.85,,,
Maçanet de Cabrenys,0.84,,0.86,
Vilallonga de Ter,0.84,,,
Esponellà,0.84,,,
Tossa de Mar,0.91,0.95,0.66,
Figueres,0.9,,0.77,
Navata,0.78,,0.89,
El Port de la Selva,0.86,,0.81,
Llagostera,0.88,,0.78,
Sant Llorenç de la Muga,0.83,,,
Sant Mori,0.83,,,
Das,0.83,,,
Urús,0.83,,,
Juià,0.83,,,
Caldes de Malavella,0.87,,0.78,
Crespià,0.65,,1.0,
Santa Coloma de Farners,0.76,,0.88,
Espinelves,0.82,,,
Regencós,0.82,,,
Vilajuïga,0.81,,,
Torrent,0.81,,,
Santa Pau,0.83,,0.78,
La Bisbal d'Emporda,0.72,1.0,0.69,
Vilanant,0.8,,0.8,
Sant Feliu de Buixalleu,0.8,,,
Bolvir,0.8,,,
Garrigàs,0.8,,,
Cornellà del Terri,0.85,,0.74,
Planoles,0.97,,0.62,
Brunyola,0.79,,,
Colera,0.79,,,
Corçà,0.82,,0.76,
