neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Masarac,0.74,,0.83,
Les Preses,0.78,,,
Osor,0.9,,0.63,
Ullà,0.81,,0.72,
Cadaqués,0.87,0.52,0.89,
La Pera,0.9,,0.62,
Sant Martí de Llémena,0.76,,,
Maià de Montcal,0.74,,0.78,
Pedret i Marzà,0.75,,,
Vilafant,0.75,,,
Cistella,0.74,,,
Cabanelles,0.93,,0.54,
Porqueres,0.63,,0.84,
Guils de Cerdanya,0.86,,0.6,
Cabanes,0.96,,0.5,
Sant Joan les Fonts,0.72,,,
Viladrau,0.72,,,
Beuda,0.71,,,
Sant Aniol de Finestres,0.91,,0.51,
Sant Martí Vell,0.74,,0.67,
Foixà,0.7,,,
"Cruïlles, Monells i Sant Sadurní de l'Heura",0.92,,0.46,
Viladamat,0.69,,,
Albanyà,0.68,,,
Fornells de la Selva,0.68,,,
Saus,0.73,,0.6,
Cassà de la Selva,0.61,,0.7,
Breda,0.97,,0.33,
Riells i Viabrea,0.64,,,
Serra de Daró,0.63,,,
Siurana,0.62,,,
Vall-llobrega,0.86,1.0,0.0,
Vidreres,0.86,,0.66,0.33
Llívia,0.83,,0.4,
Sant Pere Pescador,0.97,,0.25,
Agullana,0.6,,,
Bellcaire d'Empordà,0.8,,0.35,
Parlavà,0.89,,0.25,
Blanes,0.85,,0.77,0.07
Pontós,0.55,,,
Canet d'Adri,0.7,,0.36,
Ordis,0.53,,,
Palau de Santa Eulàlia,,,0.5,
Darnius,0.98,,0.0,
Llanars,0.94,,0.0,
Riudaura,0.46,,,
Sant Feliu de Pallerols,0.64,,0.0,
