neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Cabanelles,181231.0,,85.0,
Santa Cristina d'Aro,58822.58,,80674.73,
Forallac,40433.29,,86065.0,
Fontcoberta,47184.14,,57695.0,
Bordils,84425.36,,,
Calonge,39577.14,,43271.59,
Sant Andreu Salou,80376.0,,,
Vilabertran,73080.0,,450.0,
Castell-Platja d'Aro,16392.1,,55090.56,
Mont-ras,48456.17,,11195.71,
Begur,28811.72,11466.0,18510.38,
Camós,57637.5,,,
Vall-llobrega,46504.7,,7905.0,
Palafrugell,32678.66,13865.25,6883.38,
Cadaqués,21552.9,24900.0,4817.29,
Tossa de Mar,14621.6,25377.5,10565.14,
Corçà,42275.92,,7499.38,
Darnius,48562.67,,1096.22,
Vilademuls,36811.5,,11068.47,
Ullastret,47812.82,,,
Riudellots de la Selva,47647.33,86.5,,
La Tallada d'Empordà,47167.0,,,
Garrigàs,22452.33,,24309.0,
Avinyonet de Puigventós,6265.75,,40284.2,
Lloret de Mar,20918.41,,17073.18,8200.78
Sant Julià de Ramis,33588.12,,12393.11,
Cervià de Ter,43490.0,,,
"Cruïlles, Monells i Sant Sadurní de l'Heura",43362.44,,,
Saus,41635.29,,1688.0,
Castelló d'Empúries,10864.52,11635.0,15504.95,4800.0
Bescanó,33985.17,,8798.4,
Brunyola,41866.25,,,
Palau-saverdera,30227.14,,11188.5,
L'Armentera,34398.0,,6571.0,
Molló,14919.38,,24770.0,
Garrigoles,19652.86,,19888.33,
Pontós,39240.0,,,
Vidreres,26990.21,,1290.5,10250.0
Les Planes d'Hostoles,16068.19,,21216.0,
Campelles,20442.75,,15960.0,
La Pera,12942.25,,23167.64,
Sant Aniol de Finestres,18096.33,,17505.6,
Sant Martí Vell,34813.83,,,
Puigcerdà,10959.53,13663.33,9789.67,
Llambilles,29023.5,,5345.0,
Beuda,33834.54,,,
Blanes,19839.18,,10263.9,3230.5
Sant Pere Pescador,21024.69,,12239.0,
Madremanya,28180.89,,2634.5,
Foixà,30252.5,,,
Mieres,21064.5,,8853.0,
Peralada,29250.43,,295.0,
Breda,4018.25,,25500.0,
Torroella de Montgrí,15401.14,,14015.48,
Caldes de Malavella,24585.08,,4709.78,
Vilobí d'Onyar,29254.11,,,
Bolvir,28701.94,,,
Llagostera,19520.28,,9023.0,
Colomers,28455.75,,,
Sant Llorenç de la Muga,28014.4,,,
Vilopriu,10247.0,,17417.56,
L'Escala,18141.91,,7236.5,2121.56
Sant Hilari Sacalm,19017.21,,7827.0,
Sant Gregori,26355.55,,,
Albons,16649.83,,9240.0,
Meranges,25584.0,,,
El Port de la Selva,9519.06,,15947.62,
Fontanilles,12826.38,,12601.4,
Llanars,6840.86,,18283.33,
Riells i Viabrea,24940.71,,,
Sant Feliu de Buixalleu,24758.43,,45.0,
Maçanet de la Selva,22923.39,,1383.4,
Pau,16843.37,,7449.43,
Garriguella,21467.69,,2742.5,
Borrassà,14896.4,,9072.0,
Agullana,23795.62,,,
Sant Feliu de Guíxols,20027.6,,2839.6,
La Cellera de Ter,13826.0,,8871.83,
Vilajuïga,22537.36,,160.0,
Llançà,11318.0,,11350.0,
Sils,22491.22,,148.33,
Amer,21919.56,,630.0,
Palol de Revardit,7742.5,,14591.5,
La Vall d'en Bas,14029.45,,7930.42,
Canet d'Adri,17965.0,,3986.67,
Camprodon,9683.23,,12244.46,
Sant Joan de les Abadesses,6887.06,,14765.56,
Pals,17253.72,2150.33,2116.24,
Torroella de Fluvià,17284.38,,4068.0,
Alp,21223.38,,,
Ventalló,16915.47,,4285.78,
Cistella,20765.2,,,
Ogassa,4638.33,,7760.0,7760.0
Bàscara,15124.25,,4830.0,
Sant Feliu de Pallerols,19878.75,,,
Palamós,15618.65,,4242.67,
La Bisbal d'Emporda,10251.78,1210.0,8140.79,
Susqueda,5912.22,,13639.0,
Guils de Cerdanya,9443.72,,10080.0,
La Selva de Mar,7485.77,,11550.0,
Les Preses,18766.0,,,
Vidrà,18759.93,,,
Ribes de Freser,6709.43,,11967.12,
La Vall de Bianya,15396.89,,2987.5,
Argelaguer,17074.4,,1250.0,
Gualta,17237.92,,778.5,
Viladrau,17770.58,,,
Ultramort,12823.31,,4220.0,
Roses,13277.53,,3618.65,
Das,16865.94,,,
Sant Miquel de Fluvià,16609.0,,,
Massanes,15670.25,,929.33,
Planoles,11662.88,,4925.5,
Vilaür,16406.0,,,
Fontanals de Cerdanya,16251.9,,,
Cornellà del Terri,13562.62,,2505.0,
Banyoles,10031.86,,5769.09,
