neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Ariany,0.97,,0.98,
Montuïri,0.95,,1.0,
Mancor de la Vall,0.95,,1.0,
Lloseta,0.95,,0.99,
Llubí,0.94,,1.0,
Escorca,0.93,1.0,,
Llucmajor,0.88,1.0,0.96,1.0
Alcúdia,0.95,,0.97,
Costitx,0.98,,0.94,
Ses Salines,0.94,,0.98,
Binissalem,0.94,,0.98,
Esporles,0.93,1.0,0.94,
Manacor,0.9,0.99,0.98,
Petra,0.92,,0.99,
Sa Pobla,0.94,,0.97,
Sóller,0.92,1.0,0.94,
Selva,0.94,0.93,0.98,
Vilafranc de Bonany,0.95,,,
Felanitx,0.93,1.0,0.91,
Sant Joan,0.96,,0.93,
Santanyí,0.93,1.0,0.89,
Santa Margalida,0.96,,0.92,
Estellencs,0.94,,,
Muro,0.95,,0.93,
Artà,0.91,,0.96,
Inca,0.95,,0.92,
Sant Llorenç des Cardassar,0.92,1.0,0.87,
Algaida,0.9,,0.96,
Banyalbufar,0.92,,0.94,
Búger,0.95,,0.9,
Son Servera,0.9,1.0,0.87,
Sencelles,0.91,0.92,0.94,
Palma de Mallorca,0.9,0.96,0.9,0.92
Calvià,0.87,0.99,0.86,
Andratx,0.91,,0.9,
Puigpunyent,0.93,,0.78,1.0
Marratxí,0.92,,0.87,
Maria de la Salut,0.93,0.75,1.0,
Fornalutx,0.91,,0.87,
Campanet,0.92,,0.84,
Bunyola,0.91,,0.79,
Porreres,0.9,,0.78,
Campos,0.88,,0.8,
Pollença,0.94,0.7,0.84,
Capdepera,0.92,0.5,1.0,
Alaró,0.9,,0.7,
Lloret de Vistalegre,0.9,,0.7,
Consell,0.9,,0.66,
Valldemossa,0.89,,0.67,
Santa María del Camí,0.75,1.0,0.57,
Santa Eugènia,0.93,,0.4,
Sineu,0.93,0.5,0.35,
Deyá,0.86,,0.0,
