neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
San Pascual,24686.62,3654.0,3162.45,507000.0
Amposta,85640.5,,20592.22,
San Juan Bautista,11751.67,,4701.55,84500.0
Argüelles,14405.05,8501.0,65025.9,
Numancia,6963.96,59150.0,5006.1,6422.0
Rosas,41184.0,,28366.29,3380.0
Canillejas,46964.06,,22985.78,2916.0
Palos de Moguer,14374.84,,37876.05,9318.33
Universidad,13062.04,37883.79,6832.23,1730.95
Goya,18326.64,30251.0,6049.97,3393.5
Recoletos,24175.12,15451.29,10115.63,
Castillejos,12384.55,,5221.0,30420.0
Justicia,16338.83,8334.0,17376.82,5051.31
Lucero,18290.73,,3068.04,24921.33
Piovera,31459.65,2542.0,10479.07,
Arcos,6831.0,,36691.17,
Cortes,12610.71,17116.07,10472.04,1461.67
Simancas,24695.83,,15221.13,576.0
Fuente del Berro,33519.47,,6694.94,
Palacio,15860.99,10649.5,10629.92,1464.89
Media Legua,25143.5,0.0,4617.0,8100.0
Castellana,23889.67,,12564.11,189.0
Sol,17514.96,6144.56,9198.4,1712.83
Prosperidad,13373.21,9601.33,8242.61,2699.0
Vallehermoso,12377.94,,14662.0,6400.0
Embajadores,12302.75,6707.25,7639.34,5313.88
Valdefuentes,14971.31,,11650.38,5239.0
Abrantes,25920.62,,3213.79,2366.0
Alameda de Osuna,13435.5,,18046.94,
Rios Rosas,15415.54,6056.0,5174.65,4755.0
Almagro,25972.26,,5074.69,200.0
San Andrés,10960.31,15800.0,2268.43,1243.0
Ibiza,26005.7,,4160.21,
Puerta Bonita,25239.0,,4186.12,
Ciudad Universitaria,13001.52,,14707.12,825.0
Trafalgar,16528.73,,9214.62,2247.17
El Goloso,12338.5,,15611.33,
Peñagrande,20753.77,,7153.53,
Marroquina,12493.9,,15076.87,
Guindalera,9541.34,,14405.03,3138.0
Cuatro Caminos,17721.52,,7444.84,1465.12
Ciudad Jardín,16524.85,,9930.37,
Acacias,15742.15,,5771.23,4745.0
Gaztambide,12679.87,,7109.24,6329.0
Imperial,21395.41,,4700.12,
El Viso,16443.42,,9644.48,
Jerónimos,19760.12,0.0,6269.04,
Corralejos,9600.0,,15756.6,
Niño Jesús,20865.86,,3930.08,
Arapiles,15961.4,,5667.95,2873.0
Rejas,14448.76,,9599.81,
Nueva España,10217.98,,3171.0,8450.0
Lista,15081.58,,5838.79,560.0
Mirasierra,17870.67,,3585.92,
Timón,9126.33,,3638.59,8450.0
La Paz,14570.4,,6500.65,
Los Angeles,12522.25,,7340.0,1194.67
Salvador,9036.6,,11939.44,
El Pardo,17383.5,,3281.06,
Concepción,14534.31,,2471.4,3332.0
San Cristobal,17632.88,,2286.6,
Fontarrón,16675.7,,3098.18,
Casco Histórico de Vicálvaro,13784.7,,5806.15,
Berruguete,9129.29,,7685.7,2535.0
Canillas,9096.18,2406.5,7841.53,
Buenavista,4988.0,,5132.29,8788.0
Pacífico,13417.67,,5421.95,
Valdemarín,16723.33,,1759.5,
Legazpi,7658.72,6395.0,4380.9,
Valdeacederas,9367.29,,6012.54,3028.0
Aravaca,13988.43,,4392.84,
Hellín,6139.38,,7218.79,4995.0
Costillares,8830.88,,8878.35,
Delicias,9911.37,,7797.24,
Atocha,10608.43,,6923.33,
Ventas,7685.11,,9414.12,200.0
Aguilas,8380.83,,3053.77,5814.8
Portazgo,9049.5,,3976.61,3815.0
Pinar del Rey,12813.19,,3778.27,208.0
Valverde,12260.65,,4330.22,
Hispanoamérica,8631.16,,7203.96,
Cármenes,10832.88,,4973.0,
Castilla,7430.7,,8246.75,
Comillas,9313.77,,4271.56,1796.0
Palomeras Bajas,7319.23,,2097.43,5915.0
Almenara,9672.39,,5508.11,
Chopera,9498.25,,5352.39,
Pueblo Nuevo,8529.57,,3305.98,2979.0
San Isidro,11057.31,,3232.66,500.0
Casa de Campo,10822.84,,3871.32,
Puerta del Angel,9834.98,,4322.77,
Valdezarza,6556.53,,3678.68,3814.0
Casco Histórico de Barajas,7668.21,,5929.29,270.0
Colina,8071.46,,5732.71,
Pradolongo,5552.38,,6664.82,1497.0
San Diego,6748.77,,3953.61,2866.0
Palomas,9113.57,,4344.1,
Estrella,10692.75,,2581.4,
Quintana,8547.64,,2837.7,1722.0
Bellas Vistas,9295.11,,3593.27,
San Fermín,8355.64,,4303.93,
Palomeras Sureste,10320.07,,2272.33,
Apostol Santiago,5145.25,,6982.17,
Aluche,5572.67,,3014.73,3476.33
Adelfas,7961.72,,3833.29,
Opañel,9198.76,,2596.02,
Los Rosales,7129.11,,2114.26,2410.0
Casco Histórico de Vallecas,7527.32,,3422.6,
Cuatro Vientos,7170.0,,3648.38,
Orcasur,4266.83,,2236.19,4225.0
Campamento,7707.0,,2787.1,
Pilar,7262.27,,3082.85,
Vista Alegre,7327.03,,2797.4,
Pavones,8256.0,,1482.4,
Almendrales,6261.0,,3042.93,
Entrevías,2612.9,,3780.86,1987.5
Moscardó,5658.58,,2655.0,
Vinateros,5387.5,,2896.68,
Ambroz,5737.0,,2310.5,
El Plantío,6589.57,,1167.2,
Butarque,5908.75,,1803.21,
Santa Eugenia,5654.4,,1676.11,200.0
Aeropuerto,4874.33,,2616.22,
Zofío,4549.44,,2868.5,
Orcasitas,2520.0,,2615.67,720.0
Atalaya,,,2500.0,
Horcajo,,,570.0,
