neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
"León XIII, Los Naranjos",156975.05,,4742.67,
Museo,34058.06,56403.0,3337.18,21660.0
"Sector Sur, La Palmera, Reina Mercedes",96598.04,,2902.23,
Feria,28454.27,4189.5,54124.48,
La Barzola,83189.0,,3171.0,
San Vicente,20231.74,20760.0,20042.13,15822.0
Santa Cruz,38659.63,19021.75,7147.96,5454.0
Alfalfa,24647.49,8703.43,12994.73,20280.0
"Encarnación, Regina",27755.3,32092.56,5158.97,
San Lorenzo,18267.73,15575.33,30650.84,
San Bartolomé,31541.49,9827.5,19237.26,
Arenal,27165.61,12984.0,14966.13,2286.71
no asignado,48056.33,,7758.0,
San Julián,45850.16,,8842.3,
San Bernardo,43868.18,,5667.18,
Santa Catalina,23759.55,16476.2,4892.08,4020.0
"El Cano, Los Bermejales",42229.0,,2052.5,20.0
Triana Este,17986.21,18951.25,3698.61,
Santa Clara,3935.6,,2209.0,31600.0
San José Obrero,33254.47,,3633.14,
San Gil,29244.79,861.0,3497.75,
Triana Casco Antiguo,23663.1,2325.0,7263.33,
Nervión,29017.0,,2366.33,
"Felipe II, Los Diez Mandamientos",27400.0,,3805.67,
La Florida,11526.57,,18575.14,
Los Remedios,24788.07,,4599.79,
Heliópolis,23562.88,,3430.0,
Triana Oeste,22251.83,,3033.92,
Rochelambert,15200.0,,9412.33,
"Doctor Barraquer, G. Renfe, Policlínico",18648.83,,5721.17,
La Calzada,20258.0,,2858.56,
"Tiro de Línea, Santa Genoveva",17499.38,,5067.62,
"Cisneo Alto, Santa María de Graccia",20190.0,,1301.67,
Isla de Garza,20000.0,,,
Arbol Gordo,18225.0,,120.0,
El Plantinar,8210.14,,9830.0,
Las Huertas,10961.0,,6860.86,
La Buhaira,14501.13,,2917.06,
"Colores, Entreparques",12835.09,,4456.47,
Huerta del Pilar,13923.75,,1648.2,
"El Juncal, Híspalis",15560.0,,,
Barrio León,12225.47,,2898.0,
Giralda Sur,12838.5,,1897.33,
Palmete,12575.67,,264.0,
El Rocío,12720.0,,,
"El Tardón, El Carmen",9205.0,,3478.71,
an Roque,7701.15,,4604.31,
Pio XII,9067.33,,3108.0,
"Santa María de Ordas, San Nicolas",11140.0,,525.33,
"La Paz, Las Golondrinas",9945.5,,1614.71,
Polígono Sur,9768.17,,1773.5,
El Porvenir,10300.46,,1189.76,
La Bachillera,9414.35,,1997.0,
Los arcos,9646.0,,1551.0,
Tablada,9210.78,,1638.9,
San Pablo D y E,7136.0,,3443.0,
"Carretera de Carmona, María Auxiliadora, Fontanal",6008.12,,4530.0,
"Cruz Roja, Capuchinos",8042.58,,2478.33,
Valdezorras,9469.67,,1038.0,
Retiro Obrero,6450.4,,3917.0,
Zodiaco,7767.0,,2535.0,
"Prado, Parque María Luisa",10272.0,,,
Huerta de la Salud,9235.33,,950.57,
Las Avenidas,5433.4,,4573.67,
El Carmen,6426.88,,2948.0,
Campos de Soria,7020.0,,2142.0,
San Jerónimo,6050.43,,2663.0,
El Cerro,5148.6,,3341.36,
Ciudad Jardín,7207.86,,1126.0,
"Pedro Salvador, Las Palmeritas",6435.67,,1878.8,
"Tabladilla, La Estrella",8159.0,,,
Huerta de Santa Teresa,5878.46,,2218.44,
"Begoña, Santa Catalina",3875.0,,4102.67,
"Hermandades, La Carrasca",6076.0,,1721.38,
Juan XXIII,5681.25,,1998.0,
Bami,4992.33,,2654.33,
Los Pajaros,4011.0,,1706.71,1690.0
Aeropuerto Viejo,7264.0,,,
Bellavista,5386.65,,1513.71,
La Oliva,4840.0,,1800.33,
"Palacio Congresos, Urbadiez, Entrepuentes, Jardines del Eden",4174.0,,1660.17,
San Pablo A y B,3079.0,,2559.67,
"La Palmilla, Doctor Marañón",5516.67,,,
Las Almenas,,,4824.0,
Pino Flores,4496.5,,,
"Macarena 3 Huertas, Macarena 5",4320.0,,,
Bda. Pino Montano,1809.25,,2323.83,
"San Carlos, Tartessos",,,3984.0,
"El Torrejón, El Cerezo",3210.0,,555.33,
Avda. de la Paz,,,3314.67,
San Diego,,,3206.75,
Consolación,1815.0,,1079.25,
"Santa Aurelia, Cantábrico, Atlántico, La Romería",2685.0,,,
Bda. de Pineda,,,2485.0,
Villegas,1658.67,,590.0,
Amate,,,2060.0,
"Las Naciones, Parque Atlántico, Las Dalias",1677.0,,84.0,
San Pablo C,,,1670.5,
Polígono Norte,648.0,,1020.0,
Parque Alcosa,980.0,,372.0,
La Corza,,,1200.0,
Los Carteros,,,1035.0,
"Los Príncipes, La Fontanilla",,,706.0,
Las Letanías,,,369.0,
El Gordillo,,,288.0,
