neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
FAVARA,2015.33,,37.79,50.0
L'HORT DE SENABRE,922.14,,41.54,
EL GRAU,586.14,,63.98,145.0
AIORA,436.92,,35.55,
EL PLA DEL REMEI,197.35,,212.62,
LA GRAN VIA,160.9,,236.79,
MASSARROJOS,318.88,,59.61,
EL CARME,347.02,,59.88,60.0
CAMI FONDO,169.65,,116.33,
CASTELLAR-L'OLIVERAL,247.0,,38.0,
EL PILAR,119.04,171.0,105.41,
LA XEREA,163.54,,96.71,
RAFALELL-VISTABELLA,109.3,,242.14,35.0
CARPESA,230.0,,25.0,
SANT FRANCESC,140.25,,114.49,
CIUTAT DE LES ARTS I DE LES CIENCIES,130.76,,119.0,
LA FONTETA S.LLUIS,213.83,,25.6,
EL MERCAT,144.98,134.0,66.0,
LA SEU,139.13,,84.93,
CABANYAL-CANYAMELAR,235.57,,51.23,45.0
PENYA-ROJA,137.48,,79.2,
FAITANAR,84.76,,124.05,
LA ROQUETA,137.28,,70.0,
PATRAIX,146.47,,50.51,
LES CASES DE BARCENA,156.25,,39.5,
LA PUNTA,132.69,,58.5,
LA MALVA-ROSA,141.96,,48.38,
EL PERELLONET,113.15,,75.0,
TRES FORQUES,143.95,,34.64,
RUSSAFA,134.66,113.38,60.76,43.0
BENIMAMET,113.05,,125.01,25.0
POBLE NOU,139.18,,31.6,
TRINITAT,134.84,,35.42,
LA VEGA BAIXA,115.8,,50.71,
CAMPANAR,126.25,,36.83,
BETERO,122.22,,40.56,
EL BOTANIC,108.31,,54.19,
EN CORTS,101.21,96.67,42.47,
EL PALMAR,79.0,,,
LA PETXINA,106.8,,49.61,
MESTALLA,113.59,,38.4,
SANT ANTONI,98.61,,52.79,
EL SALER,119.89,,30.83,
MORVEDRE,106.29,,44.11,
BENIFERRI,127.15,,22.5,
SANT PAU,108.84,,40.26,
LA CREU DEL GRAU,109.27,,39.53,
JAUME ROIG,113.43,,33.75,
SANT LLORENS,102.81,,43.87,
NA ROVELLA,100.78,,45.5,
EXPOSICIO,95.78,,49.4,
ELS ORRIOLS,99.8,,44.96,
MONT-OLIVET,106.9,,37.13,
LA CARRASCA,128.11,41.67,46.11,
MARXALENES,103.68,,40.06,
MAHUELLA-TAULADELLA,113.7,,30.0,
NOU MOLES,111.55,,31.72,
ARRANCAPINS,136.82,,45.66,25.67
SOTERNES,133.55,,31.2,40.0
L'ILLA PERDUDA,94.47,,40.08,
NATZARET,91.0,,43.33,
SANT MARCEL.LI,92.67,,41.38,
LA RAIOSA,106.76,,42.37,50.0
BORBOTO,100.2,,32.5,
CIUTAT UNIVERSITARIA,109.5,,22.5,
BENICALAP,93.88,,38.08,
BENIMACLET,100.57,,59.38,31.5
TORREFIEL,77.81,,48.52,
LES TENDETES,87.9,,38.89,62.5
VARA DE QUART,96.29,,28.8,
MALILLA,97.69,,39.52,50.0
EL CALVARI,63.75,,57.83,
ALBORS,120.37,,44.32,17.0
CIUTAT FALLERA,91.0,,26.0,
LA CREU COBERTA,76.0,,39.6,
CAMI DE VERA,82.29,,33.25,
LA FONTSANTA,88.2,,27.0,
L'AMISTAT,101.0,,52.91,17.0
SAFRANAR,56.5,,55.67,
EL FORN D'ALCEDO,80.6,,31.0,
LA TORRE,73.33,,34.79,
PINEDO,85.27,,20.0,
CIUTAT JARDI,97.83,,38.55,17.67
BENIFARAIG,75.0,,24.67,
LA LLUM,90.11,,37.29,20.0
TORMOS,77.33,,34.27,27.0
CAMI REAL,61.67,,27.29,
SANT ISIDRE,,,39.6,
