neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
el Camp d'en Grassot i Gràcia Nova,15559.09,430147.75,5741.13,
la Font de la Guatlla,286773.39,8752.5,4493.12,9099.0
el Guinardó,93614.61,,73984.09,
les Tres Torres,9371.22,,5515.3,127680.0
el Baix Guinardó,7273.68,,5815.46,127680.0
la Sagrada Família,32930.79,88008.33,5875.33,5449.57
la Nova Esquerra de l'Eixample,22777.64,6621.6,62353.36,4279.88
el Camp de l'Arpa del Clot,40023.03,22963.0,18870.67,1716.0
la Maternitat i Sant Ramon,8253.68,6353.0,58452.89,1901.17
Sants - Badal,10070.35,1357.0,55960.38,2133.0
la Marina de Port,46114.11,,7171.89,5040.0
l'Antiga Esquerra de l'Eixample,24504.32,14506.86,8531.72,3951.64
el Raval,10546.24,13694.89,9893.67,15205.5
la Dreta de l'Eixample,19388.01,14875.33,7525.51,6224.26
"Sant Pere, Santa Caterina i la Ribera",11775.14,16327.39,6653.27,4200.0
el Fort Pienc,32685.62,,5914.83,
el Barri Gòtic,13970.88,5027.0,10606.86,4965.0
el Parc i la Llacuna del Poblenou,14847.26,11330.33,5467.47,851.67
les Corts,16113.77,,14812.12,922.0
Sant Gervasi - Galvany,14453.09,7444.0,6925.57,2100.0
la Vila Olímpica del Poblenou,20880.63,,5903.1,4057.67
Sants,10531.18,,6090.28,14125.0
el Poble Sec,13913.31,5285.14,6489.59,3729.25
Diagonal Mar i el Front Marítim del Poblenou,21145.59,,8263.29,
Sant Antoni,14977.96,1452.07,11251.06,
la Vila de Gràcia,11510.82,5700.82,7553.25,902.4
Provençals del Poblenou,14611.04,,6478.55,4200.0
Hostafrancs,18081.04,,6570.65,
el Putxet i el Farró,11367.7,6780.0,5011.4,
Pedralbes,18689.08,,4016.74,
"Vallvidrera, el Tibidabo i les Planes",15840.88,,4977.83,828.5
la Guineueta,5601.0,,14973.11,
la Bordeta,13743.92,,6150.64,
el Clot,9064.16,,8108.4,2280.0
Navas,6649.53,,4228.61,8053.67
Sant Gervasi - la Bonanova,12088.68,,6244.08,
Porta,12346.86,,4656.42,
el Poblenou,11043.29,,5410.23,
Torre Baró,5805.0,,10611.25,
la Marina del Prat Vermell,7421.75,1451.0,4058.63,2863.33
la Salut,10045.04,,5720.82,
Vallcarca i els Penitents,10046.05,,5662.24,
Sant Genís dels Agudells,8204.67,,7434.0,
Sarrià,9227.74,,6081.1,
la Barceloneta,8117.47,,6869.5,
Verdun,6370.0,,3634.43,4920.0
Sant Andreu,6229.27,,7470.57,1089.0
el Bon Pastor,5626.41,,6549.6,2520.0
el Besòs i el Maresme,8453.21,,5731.41,
el Congrés i els Indians,8461.4,,4484.17,1178.33
Vilapicina i la Torre Llobeta,7905.53,,5216.03,
Can Baró,9001.95,,3992.1,
la Sagrera,5614.42,,7049.25,
Sant Martí de Provençals,7820.91,,4515.51,
les Roquetes,7106.75,,2693.11,2352.0
la Verneda i la Pau,8768.08,,3381.17,
la Vall d'Hebron,8068.5,,3227.0,
el Coll,6442.23,,4018.9,
Montbau,6972.0,,3244.67,
la Teixonera,6240.0,,3948.68,
la Prosperitat,7850.0,,2317.56,
el Carmel,6123.19,,3993.18,
Horta,5875.67,,3652.17,
la Trinitat Vella,6317.67,,2246.29,
la Trinitat Nova,,,5111.57,3160.0
Vallbona,7211.25,,,
la Font d'en Fargues,3743.0,,2966.71,
Baró de Viver,3759.0,,2751.0,
la Clota,,,4200.0,
el Turó de la Peira,1000.0,,3016.96,
Canyelles,2700.0,,,
Can Peguera,,,785.0,
Ciutat Meridiana,,,49.0,
