neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
la Font d'en Fargues,1004.0,,54.12,
el Guinardó,139.04,,841.2,
la Vall d'Hebron,119.5,,670.22,
les Tres Torres,104.61,,104.09,760.0
el Baix Guinardó,123.65,,46.26,760.0
la Nova Esquerra de l'Eixample,168.79,226.2,436.29,49.25
la Dreta de l'Eixample,258.93,301.96,242.21,74.33
Diagonal Mar i el Front Marítim del Poblenou,270.16,,152.23,
la Maternitat i Sant Ramon,155.07,221.0,378.83,31.17
Sarrià,146.26,,239.75,
Sant Antoni,210.54,277.0,89.07,
Pedralbes,301.75,,76.1,
la Font de la Guatlla,152.13,435.0,54.43,98.0
les Corts,151.32,,347.15,44.5
el Raval,140.74,354.89,123.22,81.2
el Camp de l'Arpa del Clot,156.94,354.0,145.59,42.8
Sant Genís dels Agudells,278.0,,44.25,
Sants - Badal,144.0,67.5,344.14,84.83
la Marina de Port,357.62,,92.14,30.0
el Parc i la Llacuna del Poblenou,201.33,273.0,69.68,90.67
"Sant Pere, Santa Caterina i la Ribera",154.4,359.22,92.16,25.0
la Vila Olímpica del Poblenou,259.9,,133.38,50.67
l'Antiga Esquerra de l'Eixample,208.1,214.21,116.32,44.73
Hostafrancs,196.73,,94.31,
Sant Gervasi - Galvany,196.82,150.0,202.14,31.67
el Putxet i el Farró,173.17,60.0,172.67,
el Camp d'en Grassot i Gràcia Nova,172.57,174.0,56.11,
el Fort Pienc,217.39,,48.53,
la Bordeta,187.68,,62.38,
Vallcarca i els Penitents,169.32,,80.34,
la Sagrada Família,230.94,146.83,61.39,42.57
Vilapicina i la Torre Llobeta,188.53,,47.0,
el Poblenou,180.78,,54.47,
la Vila de Gràcia,169.62,168.73,83.09,36.78
el Besòs i el Maresme,163.49,,60.14,
el Poble Sec,192.9,122.57,72.28,58.7
Sants,136.21,,71.62,125.0
el Barri Gòtic,176.93,89.0,134.44,40.0
el Carmel,149.81,,70.09,
Can Baró,171.71,,47.14,
Sant Gervasi - la Bonanova,161.64,,52.48,
el Bon Pastor,119.98,,172.03,15.0
Canyelles,100.0,,,
la Salut,144.84,,54.71,
el Coll,148.38,,44.9,
Porta,119.38,,58.8,
Vallbona,88.0,,,
la Barceloneta,105.49,,67.68,
Provençals del Poblenou,178.37,,54.12,25.0
la Guineueta,63.0,,106.0,
Montbau,142.33,,23.17,
la Sagrera,109.12,,53.47,
la Teixonera,110.71,,50.9,
"Vallvidrera, el Tibidabo i les Planes",169.35,,52.43,19.0
Navas,88.33,,55.14,93.33
Sant Andreu,125.51,,55.88,54.0
la Verneda i la Pau,113.0,,39.68,
Horta,106.14,,45.72,
el Clot,122.81,,71.26,30.0
la Marina del Prat Vermell,150.45,49.17,64.98,27.5
Sant Martí de Provençals,92.74,,35.57,
Torre Baró,45.0,,71.5,
la Trinitat Vella,69.86,,44.38,
Baró de Viver,68.0,,44.0,
la Prosperitat,78.8,,29.94,
el Congrés i els Indians,100.1,,39.95,22.67
la Trinitat Nova,,,66.12,40.0
Ciutat Meridiana,,,49.0,
Verdun,77.33,,27.29,29.0
Can Peguera,,,39.5,
les Roquetes,69.75,,33.22,14.0
el Turó de la Peira,40.0,,30.08,
la Clota,,,25.0,
