neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Oiartzun,10653.21,595508.33,48904.31,3417.33
Muskiz,393789.5,,,
Zarautz,11926.78,,145452.37,7140.0
Bidegoian,,,77972.0,
Azpeitia,12387.0,,64025.33,
Donostia-San SebastiÃ¡n,48619.43,8456.19,10611.14,150.5
Karrantza Harana,5651.71,49250.5,6785.22,
Beizama,53760.0,,,
Berriz,37050.0,,13878.0,
Azkoitia,16531.0,10140.0,17811.67,4225.0
Mundaka,10207.5,,36111.0,
Aretxabaleta,37029.0,,8380.5,
Sopelana,25992.72,,4736.0,6053.0
Gatika,28540.4,,5195.0,
Zegama,27885.0,,5740.0,
Lemoiz,9517.29,,22815.0,
Iruraiz-Gauna,24165.0,,5178.0,
Eskuernaga,1000.0,,27894.5,
Urnieta,21740.5,,6706.13,
Lizartza,28145.0,,,
Amoroto,16420.0,,10713.33,
AÃ±ana,26826.67,,,
Aia,14430.0,,3083.0,9310.0
Labastida,6904.78,,4688.67,15210.0
Kuartango,24032.5,,2485.4,
Zestoa,16615.17,,9240.0,
Mungai,12553.06,,11622.18,
Aduna,23520.0,,,
Orio,11240.82,6547.5,5350.75,
Bilbao,10816.17,3361.71,7819.41,1139.12
Barrika,14273.13,,8810.33,
Getaria,13693.29,1206.0,7751.59,
Barrundia,13545.0,,9009.67,
Erandio,18634.17,,3657.33,
Asparrena,12500.0,,9677.67,
Arrieta,21077.5,,,
Ibarrangelu,5261.36,,15381.5,
Pasaia,10736.94,,9846.0,
Elgeta,20280.0,,,
Mendexa,8842.8,,11400.45,
Orozko,19908.25,,,
Legutiano,11426.67,,8408.0,
Hondarribia,13768.24,,5338.68,
Lasarte-Oria,11623.2,,7430.56,
Samaniego,16483.0,,2406.57,
Vitoria-Gasteiz,14532.78,,3837.76,333.0
Zierbena,9060.12,,9483.33,
Hernani,11028.77,,7216.0,
MaÃ±aria,15010.0,,2546.67,
Loiu,13811.0,,3673.5,
Plentzia,10885.88,,6586.75,
San MillÃ¡n,5760.2,,11634.0,
Deba,8892.62,,7775.19,
Ea,5554.05,,10993.14,
Arrankudiaga,8459.5,,8040.0,
Balmaseda,16265.67,,,
Segura,8048.0,3065.83,5040.0,
Leioa,9892.5,,5985.0,
OÃ±ati,12233.29,,3395.0,
Gautegiz Arteaga,10118.89,,5507.8,
Getxo,11160.36,,4189.32,
Berriatua,3106.0,,11940.0,
Laguardia,13037.47,,1883.45,
Larrabetzu,14800.0,,,
Astigarraga,8915.0,,5856.7,
Iurreta,13142.0,,1414.8,
Sopuerta,12489.0,,2047.0,
Muxika,14362.0,,,
Artzentales,4900.0,,9240.0,
Bermeo,4997.63,4356.0,4741.67,
Mutriku,11615.38,,2318.75,
Irun,8535.67,,5185.29,
Usurbil,9965.0,,3722.0,
Larraul,13640.0,,,
Trucios-Turtzioz,13546.2,,,
Bakio,7856.71,,5645.92,
Lemoa,13460.0,,,
Gorliz,7806.26,,5498.6,
Eibar,10137.0,,2796.75,
Bergara,12752.5,,,
Alkiza,12400.0,,,
Durango,6994.12,,5306.0,
Andoain,10816.0,,1420.0,
Olaberria,12025.0,,,
Sondika,7830.0,,4184.67,
Barakaldo,8830.23,,3032.81,
Ajangiz,,,11741.0,
Sestao,8309.88,,3272.0,105.0
Elgoibar,2036.67,,6987.5,2650.0
Zumaia,9782.36,,1685.0,
Arrasate,11011.5,,408.5,
Markina-Xemein,9642.2,,1711.67,
Tolosa,4994.67,,6300.0,
Otxandio,10993.75,,,
Errenteria,7291.54,,3665.0,
Ormaiztegi,,,2991.57,7943.0
Aizarnazabal,1357.67,,9520.0,
Ribera Alta,9429.29,,1100.0,
Dima,10414.12,,105.0,
Zuia,5007.57,,5494.0,
Lezama,910.0,,9581.0,
Urkabustaiz,9918.0,,541.0,
Asteasu,6973.25,,3171.0,
Gizaburuaga,10130.33,,,
YÃ©cora,5685.0,,4374.0,
Portugalete,6612.05,,3390.83,
Zeberio,9960.0,,,
OyÃ³n,7713.91,,2196.83,
Arrigorriaga,9660.0,,,
Mallabia,9526.33,,,
Zeanuri,8370.0,,1000.0,
Derio,1325.0,,7979.43,
Berango,9201.91,,,
Lezo,3523.14,,5591.0,
Sukarrieta,9026.5,,,
EreÃ±o,8841.5,,,
Atxondo,8787.5,,,
Kanpezu,8632.5,,55.0,
Amurrio,8670.18,,,
AlegrÃ­a-Dulantzi,200.0,,8400.0,
ValdegovÃ­a,8472.83,,,
Amezketa,5309.0,,3055.0,
Bernedo,8290.1,,,
Ayala,7810.8,,343.33,
Navaridas,7980.0,,,
Zizurkil,7950.0,,,
Anoeta,7645.0,,,
