neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
Valle de TrÃ¡paga-Trapagaran,4002.4,,2793.33,760.0
Urduliz,3721.0,,3825.0,
Busturia,7273.38,,268.8,
Areatza,7520.0,,,
Basauri,7482.2,,,
Laukiz,5557.5,,1798.0,
Moreda de Ãlava,4494.5,,2800.0,
Mutiloa,,,7200.0,
Altzo,6970.0,,,
LantarÃ³n,4813.33,,1953.33,
Elburgo,,,6660.0,
Orexa,6468.0,,,
Arraia-Maeztu,5029.33,,1050.0,
Lapuebla de Labarca,5740.18,31.67,188.0,
Berrobi,4455.0,,1316.0,
Ugao-Miraballes,5599.5,,,
Llodio,5595.0,,,
Gernika-Lumo,5540.4,,50.0,
Mendaro,5298.0,,,
Alonsotegi,,,5250.0,
Ermua,3722.0,,1360.0,
Berastegi,4559.6,,507.0,
Artziniega,,,4840.0,
Zigoitia,4768.11,,,
Elantxobe,4738.1,,,
Gamiz-Fika,3534.67,,1185.0,
Salvatierra,4390.0,,300.0,
Elciego,4188.2,,500.0,
Ondarroa,4659.44,,,
Lekeitio,4507.58,,85.0,
Kortezubi,752.0,,3650.0,
"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko Elizatea",,,4402.0,
Ortuella,4394.67,,,
MeÃ±aka,4200.0,,,
Zamudio,3600.0,,412.0,
UrduÃ±a-OrduÃ±a,3991.18,,,
ArmiÃ±Ã³n,,,3960.0,
Ispaster,3903.11,,,
Leza,3769.5,,,
Lanciego,3734.38,,,
Zaldibia,,,3680.0,36.67
Arantzazu,3571.0,,,
Elorrio,3204.29,,,
LagrÃ¡n,3198.75,,,
Galdames,3149.67,,,
AbadiÃ±o,495.0,,2552.0,
Legazpi,3005.0,,,
Abaltzisketa,2922.5,,,
Galdakao,666.0,,2225.0,
Ribera Baja,560.0,,2287.0,
Errezil,2841.67,,,
Arratzu,2604.0,,,
Maruri-Jatabe,2524.33,,,
Amorebieta-Etxano,845.0,,1605.0,
Abanto y CiÃ©rvana-Abanto Zierbena,2146.25,,240.0,
Lanestosa,2353.0,,,
Aulesti,2338.4,,,
Arrazua-Ubarrundia,1885.0,,,
Santurtzi,1739.11,,120.5,
Igorre,1818.0,,,
Beasain,1440.0,,,
Villabona,1067.2,,272.0,
Gordexola,1260.0,,,
Hernialde,1224.0,,,
Mendata,1158.0,,,36.0
Ataun,880.0,,280.0,
Ikaztegieta,1110.0,,,
Morga,1063.0,,,
Murueta,,,999.0,
Eskoriatza,,851.67,,
Artea,800.0,,,
Etxebarria,517.0,,,
ParzonerÃ­a de GuipÃºzcoa y Ãlava,488.0,,,
GÃºeÃ±es,357.0,,,
Soraluze,350.0,,,
Zumarraga,295.0,,40.0,
BaÃ±os de Ebro,294.0,,,
IruÃ±a Oka,,,200.0,
Zambrana,130.0,,,
Baliarrain,,,105.0,
Zalla,,,62.0,
