neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room
FAVARA,146694.17,,9827.93,50.0
EL GRAU,90539.39,,3174.95,
L'HORT DE SENABRE,72110.71,,3418.57,
AIORA,66775.3,,3287.3,
EL PLA DEL REMEI,17575.15,,29884.17,
RUSSAFA,11862.47,15213.12,5300.62,4860.0
CABANYAL-CANYAMELAR,29571.17,,4436.86,1691.0
EL CARME,19117.39,,6456.64,1320.0
LA GRAN VIA,13883.4,,8586.36,
CARPESA,18230.0,,4200.0,
FAITANAR,6446.06,,15758.76,
MASSARROJOS,19877.0,,1786.91,
CIUTAT UNIVERSITARIA,18396.0,,2902.5,
SANT FRANCESC,12493.17,,8473.65,
LA CARRASCA,10003.45,7041.67,3785.31,
EL MERCAT,11687.35,555.0,7560.76,
TRES FORQUES,18323.68,,1425.36,
EL PILAR,9042.73,730.0,9826.88,
ARRANCAPINS,12394.04,,4770.66,2396.67
LES TENDETES,10310.52,,3674.44,5400.0
LA XEREA,12659.79,,6703.0,
LA SEU,11135.78,,6903.04,
CIUTAT JARDI,13039.55,,3650.5,1163.33
LA PUNTA,14963.81,,2543.75,
PENYA-ROJA,12534.48,,4970.3,
CIUTAT FALLERA,15100.5,,2351.88,
BENIMAMET,13452.39,,3916.82,46.0
LA VEGA BAIXA,14184.6,,3214.08,
L'AMISTAT,11270.83,,5793.69,200.9
L'ILLA PERDUDA,13297.95,,3704.42,
POBLE NOU,15481.5,,1141.0,
RAFALELL-VISTABELLA,9528.38,,1193.0,5880.0
EXPOSICIO,13270.44,,3271.0,
LA ROQUETA,10646.11,,5545.32,
BETERO,13434.97,,2248.12,
CAMI DE VERA,12514.57,,3154.88,
LA MALVA-ROSA,12039.9,,3323.3,
MORVEDRE,11307.52,,3902.26,
EN CORTS,9037.02,1962.33,4092.38,
BENIMACLET,11390.16,,3243.02,90.0
NOU MOLES,12480.47,,2193.82,
SAFRANAR,10687.5,,3919.33,
CAMPANAR,9992.12,,4443.17,
ALBORS,11077.71,,3201.35,120.0
TRINITAT,11485.45,,2596.21,
EL BOTANIC,9217.27,,4792.29,
EL CALVARI,6995.0,,6866.33,
SANT MARCEL.LI,12496.44,,1339.86,
SOTERNES,8274.62,,2181.94,3280.0
ELS ORRIOLS,11241.93,,2329.0,
CIUTAT DE LES ARTS I DE LES CIENCIES,9052.24,,4396.79,
MALILLA,9472.38,,2085.91,1885.0
MESTALLA,9637.28,,3792.64,
LA CREU DEL GRAU,8813.25,,4399.24,
MARXALENES,10484.88,,2491.71,
MONT-OLIVET,9446.5,,3504.43,
CAMI FONDO,9459.12,,3282.83,
SANT ANTONI,9595.41,,2960.46,
LA LLUM,6821.56,,2240.64,3317.0
BENIFERRI,12066.0,,285.0,
LA PETXINA,7802.74,,4388.22,
PATRAIX,9363.86,,2621.45,
EL SALER,8724.31,,3140.17,
VARA DE QUART,8691.46,,2997.7,
PINEDO,7957.09,,3260.0,
JAUME ROIG,9549.29,,1516.12,
SANT PAU,8571.16,,2381.77,
LES CASES DE BARCENA,8790.38,,1880.62,
TORREFIEL,7507.0,,3083.33,
LA RAIOSA,7642.73,,2677.16,200.0
EL FORN D'ALCEDO,7226.2,,2869.0,
LA CREU COBERTA,9840.67,,198.5,
NA ROVELLA,6911.13,,3063.57,
TORMOS,7491.24,,1928.0,108.0
SANT LLORENS,6526.65,,2684.76,
MAHUELLA-TAULADELLA,6043.2,,3047.0,
EL PALMAR,8631.11,,,
NATZARET,5845.43,,2302.33,
CAMI REAL,5111.67,,3021.0,
LA FONTETA S.LLUIS,6268.83,,1806.0,
LA TORRE,5391.83,,2521.29,
CASTELLAR-L'OLIVERAL,7657.0,,68.0,
EL PERELLONET,5557.06,,1382.5,
LA FONTSANTA,5113.6,,1532.0,
BORBOTO,6262.6,,327.5,
BENICALAP,3791.16,,2655.63,
BENIFARAIG,2175.0,,3182.33,
SANT ISIDRE,,,1987.6,
